x,numerical,exact,absolute_error
0.0,0.0,0.0,0.0
0.01,0.028458807281635027,0.028458714870820054,9.241081497246562e-08
0.02,0.056889529156356526,0.0568893444259249,1.8473043162520186e-07
0.03,0.08526410793415679,0.08526383106641514,2.768677416498111e-07
0.04,0.11355454133148654,0.11355417259966992,3.6873181662178123e-07
0.05,0.141732910106128,0.1417324498741302,4.6023199781752844e-07
0.06,0.16977140561011633,0.16977085433213074,5.512779855942895e-07
0.07,0.1976423572335177,0.1976417154535892,6.417799285063364e-07
0.08,0.22531825971198058,0.22531752806346836,7.316485122199623e-07
0.09,0.2527718002711109,0.25277097947606375,8.207950471517123e-07
0.1,0.2799758855808829,0.2799749764493264,9.091315564813129e-07
0.11,0.3069036684934848,0.3069026719226221,9.965708627213132e-07
0.12,0.3335285745382126,0.3335274915115388,1.0830266737871241e-06
0.13,0.359824328147264,0.35982315973359574,1.168413668262147e-06
0.14,0.38576497858655157,0.3857637259389721,1.252647579441657e-06
0.15,0.41132492556594447,0.41132358992066564,1.3356452788215734e-06
0.16,0.436478944503664,0.4364775271788065,1.4173248574778086e-06
0.17,0.4612022114198999,0.4612007138141922,1.4976057077231708e-06
0.18,0.4854703274350821,0.48546875102648035,1.5764086017666656e-06
0.19,0.5092593428486288,0.5092576891928579,1.6536557709834199e-06
0.2,0.5325457807744096,0.5325440515034281,1.7292709815208696e-06
0.21,0.5553066603095972,0.5553048571299867,1.8031796105155706e-06
0.22,0.5775195192140449,0.5775176439053261,1.8753087187572959e-06
0.23,0.5991624360778048,0.5991604904906811,1.94558712374171e-06
0.24,0.6202140519549135,0.6202120380094444,2.0139454691703307e-06
0.25,0.6406535914420928,0.6406515111257991,2.0803162936733344e-06
0.26,0.6604608831815642,0.6604587385474671,2.1446340970898703e-06
0.27,0.6796163797677439,0.6796141729323384,2.20683540552713e-06
0.28,0.6981011770381728,0.6980989101793389,2.2668588338659035e-06
0.29,0.7158970327296417,0.7158947080844953,2.3246451463787565e-06
0.3,0.7329863844811024,0.7329840043437877,2.3801373146836724e-06
0.31,0.7493523671655992,0.7493499338850244,2.4332805748095154e-06
0.32,0.764978829534111,0.7649763455116303,2.4840224807087807e-06
0.33,0.779850350154886,0.7798478178419296,2.5323129564380764e-06
0.34,0.793952252632532,0.7939496745281871,2.5781043448969143e-06
0.35000000000000003,0.8072706200918468,0.8072679987403909,2.621351455900367e-06
0.36,0.8197923089120941,0.8197896469004848,2.662011609255721e-06
0.37,0.83150496169817,0.8315022616534913,2.700044678727309e-06
0.38,0.8423970194758602,0.8423942840627304,2.7354131297840922e-06
0.39,0.8524577330991525,0.8524549650170942,2.768082058346444e-06
0.4,0.8616771738583453,0.8616743758391211,2.7980192242038626e-06
0.41000000000000003,0.8700462432784858,0.870043418083403,2.825195082767351e-06
0.42,0.8775566820984664,0.8775538325156513,2.849582815045437e-06
0.43,0.8842010784219181,0.884198207263565,2.8711583530682816e-06
0.44,0.8899728750318572,0.8899699851314528,2.8899004044236065e-06
0.45,0.8948663758618672,0.8948634700713942,2.9057904730178663e-06
0.46,0.8988767516174283,0.8988738328045512,2.9188128770618604e-06
0.47000000000000003,0.9020000445418485,0.9019971155870831,2.928954765391012e-06
0.48,0.9042331723220909,0.904230236115962,2.9362061289006647e-06
0.49,0.9055739311306453,0.9055709905708339,2.9405598114262688e-06
0.5,0.9060209978004394,0.9060180557889229,2.9420115165157412e-06
0.51,0.9055739311306453,0.9055709905708339,2.9405598114262688e-06
0.52,0.9042331723220909,0.904230236115962,2.9362061289006647e-06
0.53,0.9020000445418485,0.9019971155870831,2.928954765391012e-06
0.54,0.8988767516174283,0.8988738328045511,2.9188128771728827e-06
0.55,0.8948663758618672,0.8948634700713941,2.9057904731288886e-06
0.56,0.8899728750318572,0.8899699851314528,2.8899004044236065e-06
0.5700000000000001,0.8842010784219181,0.8841982072635651,2.8711583529572593e-06
0.58,0.8775566820984664,0.8775538325156514,2.849582814934415e-06
0.59,0.8700462432784858,0.870043418083403,2.825195082767351e-06
0.6,0.8616771738583453,0.8616743758391212,2.7980192240928403e-06
0.61,0.8524577330991525,0.8524549650170942,2.768082058346444e-06
0.62,0.8423970194758602,0.8423942840627304,2.7354131297840922e-06
0.63,0.83150496169817,0.8315022616534914,2.700044678616287e-06
0.64,0.8197923089120941,0.8197896469004847,2.6620116093667434e-06
0.65,0.8072706200918468,0.807267998740391,2.6213514557893447e-06
0.66,0.793952252632532,0.7939496745281869,2.578104345118959e-06
0.67,0.779850350154886,0.7798478178419296,2.5323129564380764e-06
0.68,0.764978829534111,0.7649763455116302,2.484022480819803e-06
0.6900000000000001,0.7493523671655992,0.7493499338850244,2.4332805748095154e-06
0.7000000000000001,0.7329863844811024,0.7329840043437879,2.38013731457265e-06
0.71,0.7158970327296417,0.7158947080844954,2.3246451462677342e-06
0.72,0.6981011770381728,0.6980989101793389,2.2668588338659035e-06
0.73,0.6796163797677439,0.6796141729323385,2.2068354054161077e-06
0.74,0.6604608831815642,0.6604587385474671,2.1446340970898703e-06
0.75,0.6406535914420928,0.6406515111257992,2.080316293562312e-06
0.76,0.6202140519549135,0.6202120380094446,2.013945468948286e-06
0.77,0.5991624360778048,0.5991604904906811,1.94558712374171e-06
0.78,0.5775195192140449,0.5775176439053263,1.8753087185352513e-06
0.79,0.5553066603095972,0.5553048571299867,1.8031796105155706e-06
0.8,0.5325457807744096,0.5325440515034282,1.7292709814098473e-06
0.81,0.5092593428486288,0.5092576891928577,1.6536557710944422e-06
0.8200000000000001,0.48547032743508206,0.48546875102648035,1.5764086017111545e-06
0.8300000000000001,0.4612022114198998,0.46120071381419203,1.497605707778682e-06
0.84,0.43647894450366387,0.4364775271788068,1.4173248570892305e-06
0.85,0.41132492556594435,0.41132358992066576,1.3356452785995288e-06
0.86,0.38576497858655145,0.3857637259389723,1.2526475791641012e-06
0.87,0.3598243281472639,0.35982315973359574,1.1684136681511248e-06
0.88,0.3335285745382125,0.333527491511539,1.0830266735095684e-06
0.89,0.3069036684934847,0.30690267192262205,9.96570862665802e-07
0.9,0.27997588558088277,0.27997497644932645,9.091315563147795e-07
0.91,0.2527718002711108,0.2527709794760636,8.207950472072234e-07
0.92,0.22531825971198052,0.22531752806346836,7.316485121644511e-07
0.93,0.1976423572335177,0.19764171545358894,6.417799287561365e-07
0.9400000000000001,0.16977140561011633,0.16977085433213068,5.512779856498007e-07
0.9500000000000001,0.141732910106128,0.1417324498741303,4.6023199770650614e-07
0.96,0.11355454133148653,0.11355417259967017,3.6873181635810326e-07
0.97,0.08526410793415679,0.08526383106641518,2.7686774160817773e-07
0.98,0.056889529156356526,0.05688934442592509,1.8473043143785173e-07
0.99,0.028458807281635027,0.028458714870820013,9.241081501409898e-08
1.0,0.0,1.1095521119916125e-16,1.1095521119916125e-16
